ax;ay;az;temp;dax;day;daz;iax;iay;iaz;norm
-0.96;0.07;-0.39;16910;-3.61;-1.79;-1.06;-8.61;0.69;-1.02;1.07
-0.88;0.15;-0.25;16911;0.78;0.81;1.38;-8.70;0.71;-1.04;0.86
-0.51;-0.04;-0.13;16911;3.65;-1.92;1.23;-8.75;0.70;-1.05;0.28
-0.04;0.81;-0.25;16911;4.73;8.48;-1.26;-8.75;0.78;-1.08;0.71
-1.22;-0.22;0.21;16911;-11.83;-10.22;4.61;-8.87;0.76;-1.06;1.59
-0.79;-0.09;0.22;16911;4.38;1.26;0.07;-8.95;0.75;-1.03;0.67
-0.85;0.01;0.05;16911;-0.68;0.97;-1.69;-9.04;0.75;-1.03;0.73
-0.84;0.02;-0.03;16911;0.12;0.11;-0.76;-9.12;0.75;-1.03;0.71
-0.90;-0.06;0.12;16911;-0.60;-0.76;1.48;-9.21;0.75;-1.02;0.83
-1.57;0.18;0.02;16911;-6.69;2.41;-1.00;-9.37;0.77;-1.02;2.50
-0.59;-0.57;-0.88;16911;9.79;-7.49;-9.03;-9.43;0.71;-1.11;1.45
-0.37;0.17;-0.15;16912;2.18;7.39;7.29;-9.47;0.73;-1.12;0.19
-0.87;0.15;-0.42;16912;-4.99;-0.26;-2.71;-9.55;0.74;-1.16;0.96
-1.07;0.27;-0.43;16912;-1.98;1.25;-0.07;-9.66;0.77;-1.21;1.41
-0.61;0.00;-0.19;16912;4.58;-2.69;2.47;-9.72;0.77;-1.23;0.41
-0.86;0.19;0.71;16912;-2.45;1.90;8.91;-9.81;0.79;-1.16;1.27
-1.15;0.36;-0.37;16912;-2.89;1.65;-10.74;-9.92;0.82;-1.19;1.58
-0.74;-0.08;0.01;16912;4.01;-4.42;3.79;-10.00;0.82;-1.19;0.56
-0.89;0.00;0.12;16912;-1.47;0.88;1.14;-10.09;0.82;-1.18;0.81
-0.82;0.09;-0.06;16912;0.75;0.82;-1.81;-10.17;0.83;-1.18;0.68
-0.79;-0.03;-0.04;16912;0.28;-1.12;0.11;-10.25;0.82;-1.19;0.63
-0.90;0.01;0.07;16913;-1.08;0.40;1.20;-10.34;0.82;-1.18;0.81
-1.40;0.37;0.25;16913;-4.99;3.52;1.73;-10.48;0.86;-1.16;2.14
-0.70;-0.35;-0.81;16913;6.92;-7.20;-10.59;-10.55;0.83;-1.24;1.28
-0.37;0.22;-0.17;16913;3.37;5.78;6.41;-10.58;0.85;-1.26;0.21
-0.69;-0.06;-0.47;16913;-3.21;-2.89;-2.96;-10.65;0.84;-1.30;0.69
-1.13;0.28;-0.53;16913;-4.43;3.45;-0.68;-10.76;0.87;-1.36;1.64
-0.55;0.03;-0.18;16913;5.83;-2.50;3.55;-10.82;0.87;-1.37;0.33
-1.64;0.93;1.20;16913;-10.94;9.02;13.77;-10.98;0.97;-1.25;5.00
-0.64;0.56;-0.34;16913;10.00;-3.75;-15.38;-11.05;1.02;-1.29;0.84
-0.62;0.09;-0.04;16913;0.18;-4.67;2.98;-11.11;1.03;-1.29;0.40
-0.89;-0.03;0.03;16914;-2.67;-1.24;0.68;-11.20;1.03;-1.29;0.80
-0.80;0.11;-0.04;16914;0.88;1.48;-0.70;-11.28;1.04;-1.29;0.66
-0.83;-0.00;0.12;16914;-0.24;-1.16;1.66;-11.36;1.04;-1.28;0.70
-0.86;0.08;0.01;16914;-0.29;0.84;-1.09;-11.45;1.05;-1.28;0.74
-1.23;0.11;0.09;16914;-3.77;0.33;0.76;-11.57;1.06;-1.27;1.54
-0.97;0.02;-0.08;16914;2.62;-1.00;-1.74;-11.67;1.06;-1.28;0.95
-0.93;-0.11;-0.04;16914;0.42;-1.28;0.46;-11.76;1.05;-1.28;0.88
-0.64;-0.01;-0.30;16914;2.86;1.04;-2.62;-11.82;1.05;-1.31;0.51
-0.72;0.07;-0.39;16914;-0.71;0.77;-0.90;-11.90;1.05;-1.35;0.67
-0.96;0.25;-0.43;16914;-2.45;1.86;-0.36;-11.99;1.08;-1.40;1.17
-0.50;0.10;-0.08;16915;4.59;-1.53;3.46;-12.04;1.09;-1.40;0.27
-0.71;-0.46;-0.18;16915;-2.10;-5.57;-1.04;-12.11;1.04;-1.42;0.75
-1.19;-0.34;0.05;16915;-4.84;1.17;2.34;-12.23;1.01;-1.42;1.55
-0.83;0.02;0.13;16915;3.64;3.59;0.75;-12.32;1.01;-1.40;0.71
-0.84;-0.02;-0.00;16915;-0.09;-0.42;-1.28;-12.40;1.01;-1.40;0.71
-0.82;-0.01;0.04;16915;0.20;0.12;0.46;-12.48;1.01;-1.40;0.67
-0.80;0.04;0.06;16915;0.24;0.47;0.21;-12.56;1.01;-1.39;0.64
-0.91;0.04;0.05;16915;-1.13;0.02;-0.16;-12.65;1.02;-1.39;0.83
-1.30;0.20;0.04;16915;-3.92;1.57;-0.14;-12.78;1.04;-1.39;1.73
-0.50;-0.47;-0.89;16915;7.97;-6.68;-9.28;-12.83;0.99;-1.47;1.27
-0.37;-0.30;-0.21;16916;1.31;1.71;6.84;-12.87;0.96;-1.50;0.27
-0.71;-0.04;-0.46;16916;-3.34;2.62;-2.48;-12.94;0.95;-1.54;0.71
-0.90;-0.01;-0.57;16916;-1.98;0.29;-1.10;-13.03;0.95;-1.60;1.14
-0.98;-0.39;-0.49;16916;-0.70;-3.79;0.81;-13.13;0.92;-1.65;1.34
-0.62;-0.01;-0.37;16916;3.58;3.74;1.15;-13.19;0.91;-1.68;0.52
-1.28;0.32;-0.12;16916;-6.63;3.31;2.48;-13.32;0.95;-1.70;1.75
-1.02;-0.12;0.03;16916;2.55;-4.38;1.50;-13.42;0.93;-1.69;1.07
-0.78;0.12;0.18;16916;2.47;2.42;1.48;-13.50;0.95;-1.68;0.65
-0.85;0.21;0.05;16916;-0.75;0.92;-1.28;-13.58;0.97;-1.67;0.78
-0.82;-0.04;0.21;16916;0.33;-2.52;1.63;-13.67;0.96;-1.65;0.72
-0.80;0.11;0.10;16917;0.16;1.50;-1.06;-13.75;0.97;-1.64;0.67
-0.86;0.17;0.07;16917;-0.55;0.62;-0.29;-13.83;0.99;-1.63;0.77
-1.07;0.10;0.29;16917;-2.10;-0.67;2.18;-13.94;1.00;-1.60;1.24
-1.04;-0.50;-0.07;16917;0.31;-6.04;-3.66;-14.04;0.95;-1.61;1.33
-1.00;-0.61;-0.27;16917;0.36;-1.08;-1.97;-14.14;0.89;-1.64;1.45
-0.54;0.20;-0.40;16917;4.63;8.09;-1.32;-14.20;0.91;-1.68;0.49
-0.72;-0.24;-0.39;16917;-1.86;-4.43;0.13;-14.27;0.89;-1.72;0.73
-0.94;0.43;-0.41;16917;-2.18;6.75;-0.21;-14.36;0.93;-1.76;1.24
-0.37;0.02;-0.36;16917;5.75;-4.10;0.47;-14.40;0.93;-1.79;0.27
-2.16;0.02;0.50;16917;-17.96;0.00;8.62;-14.62;0.93;-1.74;4.93
-0.52;0.59;-0.26;16918;16.42;5.66;-7.64;-14.67;0.99;-1.77;0.69
-0.81;0.10;0.05;16918;-2.91;-4.89;3.10;-14.75;1.00;-1.77;0.67
-0.88;0.02;0.12;16918;-0.71;-0.79;0.77;-14.84;1.01;-1.75;0.80
-0.84;0.09;0.06;16918;0.44;0.68;-0.62;-14.92;1.02;-1.75;0.72
-0.82;0.12;0.07;16918;0.24;0.28;0.04;-15.00;1.03;-1.74;0.68
-0.87;-0.03;0.12;16918;-0.52;-1.52;0.51;-15.09;1.02;-1.73;0.77
-1.23;0.17;0.18;16918;-3.62;2.03;0.62;-15.21;1.04;-1.71;1.57
-0.88;-0.25;-0.61;16918;3.54;-4.25;-7.86;-15.30;1.02;-1.77;1.20
-0.47;-0.21;-0.34;16918;4.06;0.41;2.66;-15.35;0.99;-1.81;0.38
-0.54;0.15;-0.33;16918;-0.67;3.62;0.10;-15.40;1.01;-1.84;0.42
-0.89;-0.08;-0.44;16919;-3.50;-2.25;-1.13;-15.49;1.00;-1.88;0.99
-0.78;0.19;-0.40;16919;1.08;2.66;0.42;-15.57;1.02;-1.92;0.80
-0.45;0.00;-0.11;16919;3.27;-1.88;2.90;-15.61;1.02;-1.93;0.22
-1.32;0.65;0.37;16919;-8.66;6.46;4.78;-15.75;1.09;-1.90;2.29
-1.31;-0.50;0.08;16919;0.08;-11.47;-2.83;-15.88;1.04;-1.89;1.97
-0.84;-0.02;0.01;16919;4.72;4.85;-0.74;-15.96;1.03;-1.89;0.70
-0.89;-0.08;0.07;16919;-0.53;-0.60;0.59;-16.05;1.03;-1.88;0.80
-0.87;-0.02;0.13;16919;0.17;0.53;0.58;-16.14;1.02;-1.87;0.78
-0.82;0.03;0.08;16919;0.50;0.52;-0.47;-16.22;1.03;-1.86;0.69
-1.32;0.09;0.08;16919;-4.91;0.56;-0.01;-16.35;1.04;-1.85;1.74
-0.98;-0.24;-0.13;16920;3.40;-3.29;-2.08;-16.45;1.01;-1.87;1.03
-0.70;-0.22;-0.14;16920;2.74;0.24;-0.06;-16.52;0.99;-1.88;0.56
-0.57;0.02;-0.35;16920;1.36;2.35;-2.18;-16.58;0.99;-1.92;0.45
-0.76;0.06;-0.36;16920;-1.92;0.49;-0.07;-16.65;1.00;-1.95;0.71
-0.99;0.24;-0.46;16920;-2.33;1.72;-0.97;-16.75;1.02;-2.00;1.25
-0.43;0.05;-0.04;16920;5.57;-1.87;4.22;-16.79;1.03;-2.00;0.19
-0.60;-0.49;-0.08;16920;-1.69;-5.40;-0.47;-16.85;0.98;-2.01;0.61
-0.88;-0.02;-0.04;16920;-2.72;4.73;0.47;-16.94;0.97;-2.01;0.77
