ID; ax; ay; az; temp 
85;0.22;-0.30;1.02;22312
86;0.28;-0.23;1.21;22312
87;0.35;-0.19;1.19;22312
88;0.37;-0.13;1.15;22312
89;0.49;-0.08;1.60;22312
90;0.30;0.01;1.34;22312
91;-0.32;-0.15;0.63;22312
92;-0.39;-0.44;0.71;22312
93;0.40;-0.76;0.90;22312
94;0.53;-0.34;1.18;22312
95;0.59;-0.09;1.41;22313
96;-0.11;-0.10;0.91;22313
97;-0.48;-0.11;0.43;22313
98;0.11;-0.35;0.91;22313
99;0.80;-0.39;1.67;22313
100;0.19;-0.34;1.38;22313
101;-0.34;-0.11;0.89;22313
102;-0.67;-0.07;0.52;22313
103;-0.35;-0.40;0.90;22313
104;0.22;-0.39;1.19;22313
105;-0.02;-0.51;0.92;22314
106;-0.35;-0.06;1.21;22314
107;-0.40;-0.23;1.22;22314
108;0.21;-0.17;1.25;22314
109;0.16;-0.52;0.99;22314
110;0.32;-0.44;1.59;22314
111;0.20;-0.25;1.09;22314
112;0.26;0.07;1.26;22314
113;0.14;0.09;1.32;22314
114;0.30;-0.45;1.08;22314
115;0.50;-0.80;1.29;22315
116;0.01;-0.33;1.19;22315
117;-0.29;-0.17;0.81;22315
118;-0.53;-0.14;0.75;22315
119;-0.81;-0.71;0.55;22315
120;-0.66;-0.29;0.14;22315
121;-0.87;-0.27;-0.28;22315
122;-0.67;-0.23;-0.08;22315
123;-0.37;-0.43;0.62;22315
124;-0.21;-0.36;0.93;22315
125;-0.15;-0.62;1.42;22316
126;-0.23;-0.47;0.83;22316
127;0.93;0.09;3.25;22316
128;0.19;-0.46;1.15;22316
129;0.15;-0.52;0.99;22316
130;0.18;-0.52;1.17;22316
131;0.06;-0.77;0.89;22316
132;0.27;-0.65;0.72;22316
133;0.13;-1.00;0.40;22316
134;0.26;-0.93;-0.01;22316
135;0.26;-0.76;-0.33;22317
136;0.17;-0.49;-0.48;22317
137;0.27;-0.38;-0.69;22317
138;0.15;-0.29;-0.84;22317
139;0.06;-0.16;-0.89;22317
140;0.10;-0.13;-0.85;22317
141;0.10;-0.12;-0.83;22317
142;0.14;-0.13;-0.79;22317
143;0.11;-0.16;-0.78;22317
144;0.10;-0.18;-0.83;22317
145;0.10;-0.12;-0.83;22318
146;0.11;-0.04;-0.84;22318
147;0.09;-0.03;-0.83;22318
148;0.08;-0.08;-0.82;22318
149;0.09;-0.19;-0.81;22318
150;0.16;-0.25;-0.78;22318
151;0.16;-0.24;-0.79;22318
152;0.17;-0.31;-0.77;22318
153;0.19;-0.50;-0.79;22318
154;0.22;-0.73;-0.53;22318
155;0.24;-1.08;-0.34;22319
156;0.13;-0.99;-0.01;22319
157;-0.02;-1.02;0.25;22319
158;-0.10;-0.93;0.42;22319
159;-0.15;-0.77;0.47;22319
160;-0.07;-0.66;0.75;22319
161;-0.07;-0.54;0.83;22319
162;0.06;-0.40;1.09;22319
163;-0.06;-0.51;0.95;22319
164;0.20;-0.32;1.09;22319
165;0.29;-0.21;1.22;22320
166;0.24;-0.10;1.37;22320
167;0.33;-0.05;1.13;22320
168;0.33;0.01;1.06;22320
169;0.38;0.02;1.14;22320
170;0.32;0.00;1.25;22320
171;0.27;0.03;1.19;22320
172;0.27;0.04;1.20;22320
173;0.18;0.10;1.23;22320
174;-0.01;0.02;1.25;22320
175;-0.15;0.04;1.14;22321
176;-0.55;-0.06;0.85;22321
177;-0.49;-0.10;0.81;22321
178;-0.32;-0.08;1.33;22321
179;-0.29;-0.14;0.95;22321
180;-0.15;-0.19;0.96;22321
181;0.37;-0.03;1.40;22321
182;0.59;-0.08;1.18;22321
183;0.59;-0.09;1.16;22321
184;0.53;-0.16;1.16;22321
185;0.41;-0.38;1.35;22322
186;-0.17;-0.33;0.87;22322
187;-0.41;-0.37;0.81;22322
188;-0.69;-0.30;0.55;22322
189;-0.83;-0.22;0.57;22322
190;-0.58;-0.22;0.74;22322
191;0.08;-0.34;1.14;22322
192;0.35;-0.45;1.69;22322
193;0.63;-0.21;1.07;22322
194;0.77;-0.10;1.08;22322
195;0.89;-0.08;1.07;22323
196;0.89;-0.08;0.91;22323
197;0.88;-0.12;1.08;22323
198;0.45;-0.25;1.08;22323
199;0.01;-0.33;0.92;22323
200;-0.30;-0.32;0.87;22323
201;-0.59;-0.36;0.57;22323
